ï∂éöâÊëú,ê≥âï∂éö,îFéØåãâ ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
data/test/margin_2\a-1\none_q1_2_0.png,q,g,1.1852172065118793e-05,8.613727786599412e-12,5.9355644843606115e-09,2.501417206701717e-08,4.782386486823498e-09,9.86533905233955e-07,0.5321815013885498,1.9940619988556563e-10,2.4268001652671956e-06,6.734078965564549e-07,5.656567662187806e-12,2.2432666924032674e-07,7.631353882153746e-12,2.4978830115429673e-09,2.824843292614787e-08,1.3882079656468704e-05,0.4674268960952759,1.8059705553241656e-07,3.0114941296233155e-07,3.630915301755522e-08,2.09019965780044e-08,7.442796601253576e-08,3.20737707226737e-12,9.932349387398176e-10,0.0003609145060181618,1.9738524148493752e-09
data/test/margin_2\a-2\none_q1_2_1.png,u,a,0.7778911590576172,1.167942009772105e-08,6.612928700633347e-05,2.3330789190367796e-05,6.797311158379671e-08,1.2832062168399716e-07,0.03007291629910469,8.959470676472847e-08,1.023774188979587e-06,1.1039761602660292e-06,1.0394233029842326e-08,1.9131098838442995e-07,1.0042876965599135e-06,0.00045948108891025186,4.522103608906036e-06,1.9797269601440348e-08,0.13117997348308563,1.1079656360379886e-05,4.062069820065517e-06,7.418615410870188e-08,0.060262586921453476,7.221974101412343e-06,2.635128737438208e-07,8.769541182118701e-07,1.2651579709199723e-05,1.091387424878576e-09
data/test/margin_2\a-2\two_q1_1_2.png,z,j,0.0008550452184863389,2.3699258235865273e-05,2.8254887638468063e-06,0.00018472649389877915,5.234670084064419e-07,0.00013601807586383075,0.000347624794812873,4.0257837099488825e-06,0.24808914959430695,0.475057989358902,4.925560006086016e-06,0.07221626490354538,5.283716131287974e-09,0.0005290915141813457,1.2006237739115022e-05,0.008433273062109947,3.646253389888443e-05,1.9247765521868132e-05,0.0001171306284959428,0.0009315754869021475,0.00027244805824011564,0.0005370323196984828,1.0408702109998558e-05,0.0028611612506210804,0.0007340113515965641,0.18858329951763153
data/test/margin_2\a-2\two_q2_1_0.png,f,t,4.7789109475226965e-11,5.2201812650309876e-06,1.271370138056227e-07,1.3779043683825876e-08,7.722675263721612e-07,0.23701007664203644,6.399996532735486e-09,7.98605105956085e-06,1.271356268262025e-06,5.448582669487223e-05,0.0008623647736385465,6.020032401465869e-07,9.309728682405094e-11,1.218211593823071e-07,8.228046688429913e-09,2.671388392627705e-05,3.058781672393707e-08,1.7205993572133593e-06,1.2518234449032661e-08,0.7617601156234741,2.7720894024696463e-08,9.651797654441907e-07,4.5948894689118447e-10,0.0002668073575478047,3.6451166351980646e-07,1.4748924570540112e-07
data/test/margin_2\b-1\eleven_q1_2_4.png,k,t,4.624943095166145e-09,0.007687182165682316,1.4538327377522364e-05,6.05147806709283e-06,0.0004141285899095237,0.0071395160630345345,4.946494414070912e-07,0.0019654042553156614,0.00019010376126971096,4.584201462876081e-07,0.28696808218955994,0.00016402573965024203,1.0712213234509438e-11,7.841608749004081e-07,7.420813119551894e-08,4.030200216220692e-06,8.312205181937316e-07,0.0020132563076913357,1.0042169318325023e-09,0.6913132071495056,5.717565727536567e-07,1.6317659174092114e-05,3.735991072062461e-08,0.0020983172580599785,7.346374673034006e-07,1.8483478925190866e-06
data/test/margin_2\b-1\eleven_q1_3_4.png,e,c,8.827792953525204e-06,4.197782743631251e-07,0.9277614951133728,1.6162992722001945e-07,0.07198280841112137,4.466707537176262e-08,3.78303047909867e-06,3.0116149574155315e-09,6.305922397586983e-07,1.3611571425542479e-08,3.849328855665135e-09,1.2874875210400205e-07,1.1170777636237972e-09,3.991743869846687e-05,0.00014339292829390615,4.082682991679576e-08,8.683362580086396e-07,2.4003134967642836e-05,4.759744115290232e-06,2.062009480141569e-05,1.081092193544464e-07,4.079904059040018e-08,2.2160135948467996e-09,2.9942756607503895e-10,7.917367456089508e-11,8.122545295918826e-06
data/test/margin_2\b-1\eleven_q2_1_1.png,i,t,2.526519438106334e-06,3.9060415701897e-07,1.7149883206002414e-05,8.030123694879876e-07,1.0984966820615227e-06,0.09028219431638718,0.0013053944567218423,1.0349974672863027e-06,0.06434139609336853,0.016073258593678474,2.3099488316802308e-05,0.005911180283874273,2.4282703847688936e-08,0.00010900136840064079,8.418615834671073e-06,0.0006365641602315009,0.0027437538374215364,0.06369288265705109,8.464754500892013e-06,0.7498910427093506,6.213008987288049e-07,0.0010048833210021257,1.1647673936465708e-09,0.0005803224630653858,0.001722595770843327,0.0016419381136074662
data/test/margin_2\b-1\eleven_q2_2_4.png,t,f,1.3263867231216864e-06,7.99963981990004e-06,5.9150584093004e-06,0.00010909978300333023,3.962911705457373e-06,0.7144690752029419,1.814346319406468e-06,1.7535920051159337e-05,5.314555892255157e-06,0.0010705557651817799,0.00012491625966504216,3.1530253181699663e-06,3.3427627332827115e-10,3.707475002556748e-07,6.290130727393262e-08,0.0010702532017603517,5.086601959192194e-06,0.00011940755211981013,5.479295850818744e-06,0.27750861644744873,5.860563945248032e-08,4.024113877676427e-06,2.6148805343240156e-11,0.0054204389452934265,5.184235760680167e-06,4.0333979995921254e-05
data/test/margin_2\b-1\none_q1_1_0.png,s,f,5.063783191872062e-06,0.00011206280760234222,0.011364695616066456,1.3201248293626122e-05,4.670305861509405e-05,0.6220946907997131,0.0037999062333256006,7.783565524732694e-05,7.378838927252218e-05,1.5390522094094194e-05,3.698638920468511e-06,8.508188329869881e-06,3.512324724397331e-07,4.77682042401284e-05,6.880530918351724e-07,1.2866770703112707e-05,0.00045941895223222673,0.043932411819696426,0.3179067373275757,1.288238763663685e-05,8.12255009918772e-08,1.0877198519665399e-07,3.6885471672576386e-06,7.0070263973320834e-06,1.4727632446920325e-07,1.514866170282403e-07
data/test/margin_2\b-1\none_q2_2_0.png,l,r,3.232189919799566e-05,0.0005418860237114131,0.10169488191604614,0.0005090460763312876,0.0004599694220814854,0.012988453730940819,0.00014312197163235396,0.007983079180121422,0.0560813806951046,0.0014422021340578794,0.0005618981085717678,0.32160452008247375,1.5128108316275757e-05,0.0006831393111497164,3.5305609344504774e-05,0.00024604066857136786,0.0002579621213953942,0.4740891754627228,0.010911446996033192,0.008307009004056454,4.3600517528830096e-05,0.0007290242938324809,1.928258797079252e-07,0.000566120957955718,5.305825834511779e-05,2.005569331231527e-05
