ï∂éöâÊëú,ê≥âï∂éö,îFéØåãâ ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
data/test/margin_2\a-2\none_q1_2_1.png,u,a,0.5881215929985046,4.1291883690064424e-07,0.003664602991193533,0.00021120093879289925,4.116798663744703e-05,8.65646234160522e-06,0.03433350846171379,6.801394647482084e-06,0.00012980305473320186,1.5684578102082014e-05,3.842086152872071e-05,0.000112162932055071,1.2965451787749771e-05,0.0006994304130785167,9.946847058017738e-06,2.9931385370218777e-07,0.1031041294336319,0.0006636381149291992,0.00021990803361404687,4.171247383055743e-06,0.268343061208725,2.069464244414121e-05,7.0853338911547326e-06,0.00010105794353876263,0.00012940197484567761,2.101357949868543e-07
data/test/margin_2\b-1\eleven_q1_2_4.png,k,t,1.5770918082580465e-07,0.010532904416322708,1.2188670552859548e-05,1.5006037756393198e-05,4.316542617743835e-05,0.006619311403483152,1.751472268551879e-06,0.005216787103563547,0.00010135129559785128,5.300412340147886e-07,0.22426781058311462,6.717669748468325e-05,3.667470147017404e-11,3.6570017982739955e-06,7.81545423933494e-08,7.457338597305352e-06,3.514289119266323e-06,0.0004296871484257281,6.324417967107365e-08,0.7457670569419861,1.752699461121665e-07,2.7918495106860064e-06,7.288668513183438e-08,0.006905220914632082,1.2156727962064906e-06,8.028802085391362e-07
data/test/margin_2\b-1\eleven_q2_1_1.png,i,t,3.899560397258028e-06,1.496067284278979e-06,1.5848079783609137e-05,5.900291398575064e-06,6.749013664375525e-06,0.04028422012925148,0.033190205693244934,1.4733673197042663e-06,0.20351658761501312,0.060609228909015656,1.6172364212252432e-06,0.009244558401405811,1.1825979084889582e-09,5.212884207139723e-05,7.131680467864498e-05,0.004371620249003172,0.03872879967093468,0.012964906170964241,1.237391734321136e-05,0.5874871015548706,6.64016042151161e-08,0.00030362483812496066,1.8237458418446373e-11,0.00014825729886069894,0.005055161193013191,0.003922912757843733
data/test/margin_2\b-1\eleven_q2_2_4.png,t,f,6.283389666350558e-07,2.575672624516301e-05,7.581838872283697e-07,1.6284597222693264e-05,3.9833830669522285e-05,0.604353666305542,1.1027524351447937e-06,7.453481521224603e-05,3.431005325182923e-06,0.001185511238873005,0.0013663010904565454,3.9342298805422615e-06,4.1208298995343284e-09,7.695002750551794e-07,1.8954333214082908e-08,0.0005738996551372111,9.343995770905167e-06,0.0001786788780009374,1.5551390788459685e-06,0.38162046670913696,3.5710286283574533e-07,4.926452675135806e-06,1.92877561144833e-10,0.010302882641553879,3.683054092107341e-05,0.00019838624575641006
data/test/margin_2\b-1\none_q2_2_0.png,l,r,0.00045254325959831476,0.003902938449755311,0.1254214495420456,0.001573367160744965,0.002495694439858198,0.041198816150426865,0.00048445560969412327,0.030084379017353058,0.14085370302200317,0.005496891215443611,0.0015109115047380328,0.2506520450115204,3.3367759897373617e-06,0.0017074228962883353,0.0011141415452584624,0.003343355841934681,0.0009771280456334352,0.34275704622268677,0.03317528963088989,0.00782738532871008,0.0002941258135251701,0.0016870398540049791,3.7819694398422143e-07,0.002545165130868554,0.00013586439308710396,0.0003050502564292401
data/test/margin_2\b-1\none_q2_3_2.png,w,q,0.03226492181420326,7.1605377343075816e-06,2.0587400285876356e-05,0.0018525596242398024,0.00038918605423532426,1.532853843855264e-07,0.05484524741768837,2.908702754211845e-06,0.00011571156210266054,2.7794358175015077e-05,3.929908132249693e-08,3.8537432374141645e-06,3.617914626374841e-05,0.0009937176946550608,0.00023641972802579403,3.5093231417704374e-05,0.8950942754745483,9.909376967698336e-05,0.0013213970232754946,6.7478222263162024e-06,0.006563798990100622,0.002151505323126912,0.003062356263399124,0.0002459670649841428,0.0006007521296851337,2.258154927403666e-05
data/test/margin_2\b-1\none_q3_2_1.png,t,f,6.24625897671649e-08,6.001039878356096e-07,1.4107832839727052e-06,2.8533044815759467e-09,0.00014203344471752644,0.9810412526130676,5.48775673792079e-08,4.089234607818071e-06,4.331836862547789e-07,6.388567999238148e-05,0.0001898573973448947,2.79337371011934e-07,1.214361389223484e-09,5.467191385832848e-06,4.667765729493567e-09,7.474557787645608e-05,2.0229293795637204e-07,0.00011975572851952165,6.237604566194932e-08,0.016381731256842613,2.4365049977603803e-09,8.835189646561048e-08,1.0451155999652295e-12,0.0019526405958458781,3.160643302635435e-07,2.1050229406682774e-05
data/test/margin_2\b-1\none_q3_3_1.png,n,a,0.47118571400642395,3.6350190839584684e-06,1.4735199329152238e-05,0.0004066381952725351,0.00016959811910055578,3.915702836820856e-05,0.0887809470295906,0.06317652016878128,0.0011352250585332513,1.7872562239062972e-05,2.780491195153445e-05,2.5378967620781623e-06,0.005144569557160139,0.11896342784166336,1.5201901078398805e-05,3.427939009270631e-05,0.23801054060459137,0.009219948202371597,0.000772317114751786,6.24705571681261e-05,0.00017911278700921685,4.384251951705664e-06,0.00027816928923130035,0.0023196274414658546,1.6244746802840382e-05,1.945712574524805e-05
data/test/margin_2\b-1\none_q3_3_4.png,y,g,6.365561375787365e-07,3.6976930459786672e-06,3.487867070361972e-05,7.770879939528186e-09,3.22038285958115e-05,0.0006347145535983145,0.6038858294487,2.1503130653854896e-07,1.65017127073952e-07,0.0004717887204606086,2.8668077689530946e-08,1.3068386124359677e-06,5.196928443140791e-10,8.175498500406775e-09,8.735477194932173e-07,1.6477009921800345e-05,0.003312224056571722,3.694045062729856e-06,0.0004440970078576356,1.3400690477283206e-06,9.93926846604154e-07,3.6179088056087494e-05,2.4486601635231864e-09,2.319935106243065e-07,0.3909272849559784,0.00019112619338557124
data/test/margin_2\b-1\two_q2_1_1.png,i,f,0.00022194250777829438,1.2939657381139114e-06,0.000650324858725071,9.284958224498041e-08,4.419019751367159e-05,0.5981745719909668,0.01680099591612816,4.310965323384153e-06,0.04627091437578201,0.11679799109697342,0.0002477388479746878,2.4787729202557784e-08,1.8083109125655028e-06,4.121197434869828e-06,4.015063041151734e-06,9.844545274972916e-05,0.008971886709332466,0.0001237263932125643,4.9492275138618425e-05,0.006057759281247854,3.63494265798181e-08,3.694419490329892e-07,2.915578249940154e-07,0.027665825560688972,1.4332453247334342e-05,0.17779339849948883
data/test/margin_2\b-1\two_q3_3_0.png,e,a,0.4830473065376282,9.169305485556833e-06,0.06318846344947815,0.0006923239561729133,0.4431966245174408,7.583890848650299e-09,0.0012112028198316693,1.2209916349092964e-06,4.083747626282275e-06,6.512800609925762e-07,1.5704882727618497e-08,3.374609889306157e-07,8.061081246957258e-10,3.961759830417577e-06,0.0003511123068165034,8.943628948543392e-09,0.0006832125945948064,2.18279365071794e-06,0.007238885387778282,8.112614580113586e-08,9.951350511983037e-05,1.7225682313437574e-05,1.1937361250602407e-06,1.9440356879840692e-07,1.7624904202762082e-08,0.0002510588674340397
data/test/margin_2\b-1\two_q3_3_1.png,n,a,0.918590784072876,9.436242180527188e-06,6.26181936240755e-05,0.0006036816630512476,0.0014545280719175935,3.748485539745161e-07,0.014359128661453724,0.002141021192073822,0.0022897019516676664,5.386139037000248e-06,6.233612452888337e-07,2.8572510927915573e-05,0.0019010358955711126,0.008773809298872948,1.7847374692792073e-05,3.83342649001861e-06,0.04370207339525223,0.0010811847168952227,0.002887554932385683,1.2335757674009074e-05,0.0003810509224422276,8.619010259280913e-06,0.0008456084760837257,0.0007162453257478774,3.811548594967462e-05,8.47890114528127e-05
data/test/margin_2\b-2\none_q3_1_3.png,t,f,5.270814540381252e-07,1.9009772813660675e-06,0.0013577332720160484,7.993740780420922e-08,0.0037954524159431458,0.6798226237297058,1.692946534603834e-05,2.8122531148255803e-06,0.0006189896375872195,0.0014098850078880787,0.0013163040857762098,8.54619502206333e-05,4.922842689047968e-10,1.1287612323940266e-05,1.5378375906038855e-07,0.00036382919643074274,0.00011430828453740105,0.07746531814336777,0.00021467478654813021,0.23140159249305725,2.1529629634642333e-07,1.2128529306210112e-05,2.034957624500247e-13,0.0006988025270402431,0.0012842770665884018,4.670509497373132e-06
data/test/margin_2\c-2\two_q1_2_3.png,c,o,0.0006564554059877992,1.3182938118916354e-06,0.06525540351867676,4.104309482499957e-06,0.005650158040225506,1.4215343071555253e-06,5.9529065765673295e-05,2.6940833564026434e-08,2.8987408313696506e-06,4.737250492325984e-06,6.152555442895391e-08,1.7170458477266948e-06,1.6511368938765258e-09,3.345659570186399e-05,0.9276082515716553,0.00027079315623268485,1.5551016986137256e-05,6.821119768574135e-06,0.0003450112999416888,4.9893649702426046e-05,1.0672524695110042e-05,5.213717031438136e-07,1.6147236436836465e-08,1.1920899112283223e-07,2.360641904175509e-09,2.0980274712201208e-05
data/test/margin_2\d-1\eleven_q2_1_0.png,f,t,1.895793744211005e-09,7.847721583686962e-09,1.9268467710276127e-08,4.291828559210842e-10,2.2938136226002825e-06,0.009429242461919785,6.912010519499745e-09,1.9251984895163332e-07,2.8455275469241315e-07,8.37392235553125e-06,5.978984336252324e-05,1.6745886455282744e-07,1.6517022471962406e-10,2.84114008763936e-07,5.307327910486492e-10,3.1996530651667854e-06,4.472452701520524e-07,7.957402885949705e-06,1.6407822878150569e-09,0.9840303659439087,3.815868581114046e-07,1.8233167509151826e-07,8.140817013557733e-12,0.006393962074071169,5.523142681340687e-05,7.460972483386286e-06
data/test/margin_2\d-1\none_q1_2_1.png,u,a,0.9157510995864868,8.023791906452971e-07,0.0011045612627640367,0.0001112378595280461,6.4439946072525345e-06,3.3840340165625094e-06,0.007641024887561798,5.527219036594033e-05,0.00012331204197835177,4.952689323545201e-06,5.124691142555093e-06,0.00010109716822626069,1.1157651897519827e-05,0.0009976543951779604,2.8835891498601995e-05,2.749950169800286e-07,0.02331935241818428,0.00032390948035754263,0.00010178567754337564,3.130085417524242e-07,0.05028030648827553,1.1143773917865474e-05,1.0676186548153055e-06,9.562650120642502e-06,5.9474109548318665e-06,3.5197697911826253e-07
data/test/margin_2\d-1\none_q2_1_0.png,f,t,2.386929338626942e-07,1.2773459445725166e-07,2.6197415348150344e-09,6.609537877011462e-07,3.51512454699332e-08,0.0019413057016208768,2.0784023035957944e-06,2.354702701268252e-06,2.288404402861488e-06,0.001405129092745483,4.237638495396823e-05,6.854889420537802e-07,4.3254851089802315e-11,2.6455387569512823e-07,2.00681826711957e-09,9.091067113331519e-06,1.0886311429203488e-05,0.00010178409866057336,2.4193012038153938e-08,0.9816527962684631,6.959233473935456e-07,2.7381640848034294e-06,1.1538030947333411e-11,0.00841654371470213,0.00639144703745842,1.647638600843493e-05
data/test/margin_2\d-1\none_q3_3_2.png,j,i,9.215402769768843e-07,4.7234294697773294e-08,1.4476593605650123e-05,4.611925774611336e-08,1.020552673480779e-07,5.978829722153023e-05,0.00011747336247935891,1.8124678646813663e-08,0.5995108485221863,0.40012046694755554,6.341755209859912e-08,1.1629386790446006e-05,9.401017742050044e-10,2.8778117666661274e-07,5.7022293731279206e-06,2.2824574443802703e-06,7.777933205943555e-06,1.799246774680796e-06,3.5066248074144823e-06,1.037551828630967e-05,1.0179379472674555e-07,4.5704227886744775e-06,5.397732749656825e-08,4.163138385138154e-07,1.21565326480777e-05,0.00011504400754347444
