ï∂éöâÊëú,ê≥âï∂éö,îFéØåãâ ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
data/test/margin_2\a-1\eleven_q1_2_0.png,q,g,2.0903175368403026e-07,1.7345213620956201e-07,1.3217475114402077e-08,3.973993045747193e-08,2.2458429782545863e-07,1.4083656196817174e-07,0.999751627445221,1.03040935783838e-08,3.875514309470418e-08,3.9323407463598414e-07,1.2520523284820229e-08,2.3959927375472034e-08,6.186451795286985e-09,4.793294650085045e-08,2.5344613163724716e-07,1.0871139011214837e-07,0.0002442928380332887,2.4162961409501804e-08,7.33996159851813e-07,2.3198155929549102e-07,6.230172999721617e-08,6.05258998476188e-09,1.040677943819901e-08,3.2165670127426438e-09,1.2614970046342933e-06,5.5119688369131836e-08
data/test/margin_2\a-2\eleven_q3_3_1.png,n,h,9.21098148864985e-08,2.2099956709098478e-07,3.7359212945453635e-10,3.209560972550207e-08,4.635918742224021e-07,2.4325618852572006e-08,9.000625134092388e-09,0.9232507944107056,1.854061437711607e-08,3.740864507051356e-09,6.438142463593977e-08,2.364533457921425e-08,1.6485292064771784e-07,0.07674684375524521,2.7277029523986585e-09,4.2443262238123225e-09,4.697227851124808e-08,1.788276051684079e-07,2.4575925294811896e-07,6.768525651068558e-08,4.228400598549342e-07,2.5978472706356115e-09,1.8938841606086498e-07,8.398250628260939e-08,1.2979949559621673e-08,4.00371469311267e-08
data/test/margin_2\a-2\none_q1_2_0.png,q,g,5.55565748072695e-06,2.9248826649563853e-06,3.582791805456509e-07,6.511455694635515e-07,7.4101535574300215e-06,3.183516355420579e-06,0.9758815169334412,5.719139721804822e-07,6.675495569652412e-07,2.168585751860519e-06,5.023818516747269e-07,1.191738192574121e-06,1.7773119509456592e-07,1.3214921636972576e-06,1.9982369394710986e-06,3.907800874003442e-06,0.024064892902970314,6.580750095963595e-07,8.609588803665247e-06,1.4060693729334162e-06,1.1175726513101836e-06,1.9872096856943244e-07,4.757358738061157e-07,6.383140060961523e-08,7.623142664670013e-06,8.099488013613154e-07
data/test/margin_2\a-2\none_q3_1_0.png,n,h,5.470946007335442e-08,4.857670177216278e-08,2.561812151302689e-10,7.2418799845763715e-09,8.337627832588623e-07,9.699471448243457e-09,4.6905910267014406e-09,0.9316123127937317,1.2668654569836235e-08,7.032294191411381e-10,5.870666441865069e-08,1.2480311895046725e-08,1.3065312032267684e-07,0.06838370859622955,1.1111694897536495e-09,2.008950561460665e-09,3.0116829918824806e-08,2.352461478949408e-06,7.251199463098601e-08,7.260791079488627e-08,1.1890418250004586e-07,1.1936124311162644e-09,9.24071770214141e-08,1.8470052154384575e-08,5.269891634185342e-09,1.4566214012745604e-08
data/test/margin_2\a-2\two_q1_2_2.png,i,j,6.851275315966632e-07,1.3594691381513258e-06,1.6365480348667916e-07,2.2115807496447815e-06,2.1738999578246876e-07,1.3952290828456171e-05,7.002330221439479e-06,2.0792883788089966e-06,0.07531284540891647,0.9243214130401611,2.491668169568584e-07,0.0003106847289018333,6.402012218131858e-07,7.062935765134171e-07,3.165737041399552e-07,2.3813133509520412e-07,6.611857656935172e-07,4.920314609080378e-07,1.0158739314647391e-05,3.437851546550519e-06,1.3107782024235348e-06,1.6216604308283422e-06,4.580314794111473e-07,7.451911869793548e-07,5.90950378409616e-07,5.800741746497806e-06
data/test/margin_2\b-1\eleven_q1_3_4.png,e,c,1.2086302625391454e-08,1.3765563688927784e-10,0.9999985694885254,2.4190119352063277e-10,1.4749688261872507e-06,1.3710335089456294e-09,4.204840919896924e-10,1.8344713768880805e-12,2.5686193172447247e-09,7.924606066841977e-13,8.88078569016848e-11,2.796578613128986e-08,1.6333353072828238e-11,1.3811483901005062e-10,3.6527156854759824e-09,3.84327743241375e-11,6.253050854887476e-11,2.5618930976634147e-08,7.0101608962147566e-09,2.2484807349343328e-09,1.8210114305361458e-08,4.189105506924307e-09,4.9644437866147584e-11,5.33327505422565e-12,1.6359908219798491e-12,1.515543940344699e-10
data/test/margin_2\b-1\eleven_q2_1_1.png,i,t,0.00039782680687494576,0.00070816685911268,0.0006816046079620719,0.00028376709087751806,0.002237606095150113,0.04480651021003723,0.0002759689523372799,0.0009009941131807864,0.1489885300397873,0.0016089215641841292,0.0010803967015817761,0.004726196173578501,0.000234436389291659,0.0003076927096117288,0.00017343770014122128,0.0011089046020060778,0.003392294980585575,0.0035229807253926992,0.0003251426387578249,0.7781561613082886,0.00014486121654044837,4.489697312237695e-05,0.0001625701697776094,0.0012433570809662342,0.0007472977158613503,0.0037395115941762924
data/test/margin_2\b-1\none_q2_1_2.png,v,c,3.340594776091166e-05,1.2455925570975523e-06,0.9945014715194702,6.5781405282905325e-06,0.0004395903670229018,5.822681941936025e-06,7.614587048010435e-06,1.4064018216686236e-07,3.6320182061899686e-06,2.3091740786185255e-07,2.358365009058616e-06,3.0013799914740957e-05,1.7117428114943323e-06,4.513283329288242e-06,0.0002285949740326032,2.2879603420733474e-06,1.5920376199574093e-06,0.003259340999647975,2.5945988454623148e-05,9.499272891844157e-06,0.00010816665599122643,0.0013208271702751517,2.435270289424807e-06,2.393137208400731e-07,1.182623577733466e-06,1.665617446633405e-06
data/test/margin_2\b-1\none_q2_3_2.png,w,q,0.04108564555644989,1.308755628315339e-07,1.0200145794669879e-07,1.1591257589316228e-06,1.236431398865534e-05,2.9248274913129535e-08,2.7063870788879285e-07,3.073165899536434e-08,1.2895348788788397e-07,3.810876236798322e-08,1.4448187535265333e-08,2.9724510852702224e-08,7.063147222652333e-07,1.5743986296001822e-05,3.5257536978861026e-07,1.231529864753611e-07,0.9420608282089233,7.573731863885769e-08,4.723341362478095e-07,2.6205535519352452e-08,8.292410598187416e-07,2.1998901047481922e-06,0.016815388575196266,1.2327114440324749e-08,2.2092375928650654e-08,3.3651335797912907e-06
data/test/margin_2\b-1\none_q3_1_0.png,n,r,9.037228430874844e-12,1.2074092133008626e-14,1.7719194167487018e-11,5.917067617128291e-12,3.61429691730919e-10,3.1529056709195258e-12,4.522889007763098e-12,1.5839412004226006e-09,9.823651224080687e-13,1.1700364256021084e-13,1.707682432960933e-11,7.996533296639186e-11,3.003949519686522e-11,1.0462036215130865e-07,1.9491615895102232e-13,1.7348591313526285e-11,5.116116948492011e-13,0.9999998807907104,2.2622630765217755e-12,2.3520205227889335e-10,2.3666737515061487e-13,1.6242720710102354e-11,8.945918008110287e-13,1.814840731037895e-13,6.463804318179722e-12,2.6926483503823817e-13
