認識フォルダ,モデル,誤認識数,認識率
data/test/margin_2,CNN_model_data-large_model-deep,38,97.5%
data/test/margin_2,CNN_model_epoch_010,47,96.8%
data/test/margin_2,CNN_model_epoch_020,40,97.3%
data/test/margin_2,CNN_model_epoch_030,48,96.8%
data/test/margin_2,CNN_model_epoch_040,50,96.6%
data/test/margin_2,CNN_model_epoch_050,48,96.8%
data/test/margin_2,CNN_model_epoch_060,48,96.8%
data/test/margin_2,CNN_model_epoch_070,49,96.7%
data/test/margin_2,CNN_model_epoch_080,41,97.3%
data/test/margin_2,CNN_model_epoch_090,46,96.9%
