ï∂éöâÊëú,ê≥âï∂éö,îFéØåãâ ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
data/test/margin_2\a-2\eleven_q1_2_3.png,c,o,0.014544942416250706,1.1775275197578594e-05,0.4542287588119507,0.00012828571198042482,2.9528488084906712e-05,4.899319838713723e-10,0.00013051487621851265,2.591933139228786e-07,1.952769252966391e-07,2.7290028015158896e-08,4.689448829253706e-10,2.258416498079896e-05,1.2776039115536264e-09,0.00028609856963157654,0.5298210382461548,4.659321177769016e-07,2.60552565123362e-06,7.82809584052302e-05,2.482296167727327e-06,0.0006827138713560998,2.9268143407534808e-05,2.709078898988082e-07,7.998202100623075e-09,2.383320873988737e-09,2.0523549082440695e-08,1.057765264267374e-10
data/test/margin_2\a-2\none_q1_2_1.png,u,a,0.9582369923591614,1.2159277957835002e-06,1.248364810635394e-06,7.069029379636049e-06,3.5733878576138522e-06,4.508081019594101e-09,6.282688991632313e-05,3.929017566406401e-06,3.985398507211357e-06,1.4608689369310923e-08,3.0739190037820663e-07,4.6630375436507165e-05,9.159220581977934e-08,7.14475245331414e-05,3.7892962154728593e-06,1.1641932751160766e-08,0.0040809279307723045,1.783822654033429e-06,5.7734723668545485e-09,1.9705150577919994e-07,0.037470150738954544,1.5217967757052975e-06,1.503099333888258e-08,2.155751190002775e-06,5.472194075650805e-08,9.948456280994833e-09
data/test/margin_2\a-2\two_q2_1_0.png,f,t,3.5475220556691056e-06,4.7194623675750336e-07,3.2485674150706245e-09,7.149017164920224e-06,8.677349978825077e-05,0.056076131761074066,2.0022646651796094e-07,3.770324110519141e-05,6.5410154093115125e-06,3.956914952141233e-05,8.509668987244368e-07,3.67410211765673e-05,9.330914513272504e-12,3.816493787667241e-08,1.693230972099613e-10,3.337021780680516e-06,1.8556839620487153e-08,7.049180794638232e-07,9.1421652470558e-09,0.9435250759124756,1.2591114262328063e-10,1.7664792295590814e-08,8.983483987083651e-13,0.0001689026685198769,8.801541184766393e-07,5.346590114641003e-06
data/test/margin_2\b-1\eleven_q1_2_4.png,k,t,1.4205833842595439e-08,1.2436618817446288e-05,7.812359115177969e-08,7.096592469224561e-08,1.4131105672277045e-05,0.000703233468811959,2.2558721383958424e-12,6.161591591080651e-05,2.973144432871777e-07,9.730314332045964e-09,0.01160241849720478,5.069431790616363e-05,4.957232541125123e-13,9.576311965631135e-10,1.410311277483256e-11,1.3303415258292262e-08,4.33964062601655e-12,0.0001403548667440191,1.22398640702015e-12,0.9873504042625427,2.2590937800992528e-11,4.688466059832308e-09,6.601925901577807e-14,6.424455932574347e-05,7.440027260940951e-09,7.168117654998696e-09
data/test/margin_2\b-1\eleven_q1_3_4.png,e,c,0.00011611833178903908,1.1663296390906908e-06,0.9651792049407959,6.134092109277844e-05,0.03328971192240715,1.3091379287288873e-06,0.00013702061551157385,6.76950904221485e-08,2.41247471421957e-06,1.7040807653856405e-09,1.5194709490629066e-08,1.2093473742424976e-05,1.1918716324998968e-07,0.00012663732923101634,1.1631111192400567e-05,1.0247885029457393e-06,1.490523914071673e-06,0.00039456007652916014,0.0005763625376857817,8.714478462934494e-05,2.307337965135048e-08,1.853407738394708e-08,2.884758387722286e-08,1.390702775161401e-09,3.6863997965319584e-11,5.304590331434156e-07
data/test/margin_2\b-1\eleven_q2_1_1.png,i,t,6.171323184389621e-05,1.0076881835630047e-06,2.0922182102367515e-06,0.001060791895724833,4.175805952399969e-05,0.012162787839770317,0.0027580789756029844,1.4073010561332921e-06,0.031860075891017914,0.010933472774922848,3.1417441732628504e-06,0.0004599569656420499,8.689651775917184e-10,4.170997635810636e-05,2.0490604129008716e-06,0.0001017651884467341,0.004929183050990105,0.002034521661698818,0.00012288836296647787,0.9186217784881592,6.843126811872935e-07,0.0003157432365696877,1.1491648743700011e-09,6.994276191107929e-06,8.995404641609639e-05,0.014386478811502457
data/test/margin_2\b-1\none_q1_1_0.png,s,c,9.059999138116837e-05,5.94106026596819e-08,0.6056687831878662,2.9457680739142234e-06,0.0003409738710615784,0.3169320225715637,2.5456389266764745e-05,7.830022354937682e-07,7.180171087384224e-05,7.357473919000768e-08,5.622332537313923e-07,0.000279353087535128,5.558781026593351e-07,3.0669332772959024e-05,5.693283000596239e-08,4.418243406689726e-06,2.4054827008512802e-05,0.058247119188308716,0.018170295283198357,0.00010388390364823863,7.041014526976141e-08,4.413207079778658e-06,6.632768645431497e-07,2.794789679683163e-07,2.3601489651525753e-09,3.412998239582521e-08
data/test/margin_2\b-1\none_q2_3_2.png,w,q,0.003601696342229843,1.5292096122720977e-07,2.1167774130748107e-11,2.5271349386457587e-06,1.0029830299629339e-08,3.0167642689482577e-11,0.008966712281107903,7.620780451134124e-09,2.9751262564658987e-10,1.1084342332878805e-08,3.8251189325363977e-13,4.798991870558211e-09,1.623469643163844e-07,1.2104638358323427e-07,2.381687096431051e-07,3.851058139048291e-08,0.987267792224884,1.8285172487253476e-08,1.09155307015385e-09,1.3656122455074637e-08,3.278316853538854e-07,9.436970685783308e-06,0.00014913112681824714,3.3998612813945783e-09,9.559229283695458e-07,6.949508701836749e-07
data/test/margin_2\b-1\none_q3_2_0.png,s,r,9.853785059021902e-07,3.9774028515182636e-09,1.3889756473872694e-06,2.3092406991054304e-06,3.851282883715612e-07,0.0030385549180209637,1.5209670323201863e-07,8.076581821114814e-07,2.2479605377156986e-06,1.4843629969618632e-07,2.054432712839116e-07,8.882499059836846e-06,1.700409342220155e-07,8.407396671827883e-05,7.052854744671322e-09,4.126941988147337e-08,2.862232122424757e-07,0.9857922196388245,0.010951842181384563,0.00011421013186918572,1.1446428693773214e-08,6.4985977132892e-07,2.5425034300141647e-10,4.3391420945226855e-07,2.8444754107681547e-08,1.380396685846108e-09
data/test/margin_2\b-1\none_q3_2_1.png,t,f,1.3990601566149508e-08,2.2418220437577657e-13,4.918498247574732e-11,6.505519734023579e-11,8.413440468757472e-07,0.9931294322013855,4.349291760075147e-12,1.280689954086256e-08,2.190964520920602e-09,6.606647451334879e-10,7.751492780982971e-10,1.585261344416722e-08,2.6907959909706902e-14,6.94233892595264e-10,1.7334142806777072e-16,6.432608756767877e-08,3.810298159889064e-13,1.3457120751070306e-08,2.0385878044242717e-13,0.006858499255031347,2.389717138245031e-18,6.473875255319506e-13,4.2086342105935704e-19,1.1047225598304067e-05,3.8473947470843775e-14,1.3264192695594534e-11
