ï∂éöâÊëú,ê≥âï∂éö,îFéØåãâ ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
data/test/margin_2\a-2\eleven_q1_2_3.png,c,o,0.0012318248627707362,3.2370644476031885e-06,0.40299469232559204,2.0106128431507386e-05,7.652543717995286e-05,8.308985721683371e-10,2.575414691818878e-05,8.86182363046828e-08,5.579331485705552e-08,1.7871898405630304e-09,6.32144392387346e-10,5.584124664892443e-07,1.03691300337716e-11,0.00014865290722809732,0.595309317111969,2.0244572240812886e-08,6.406591273844242e-05,6.0571877838810906e-05,1.1793530347858905e-06,3.5711549571715295e-05,2.7411018891143613e-05,2.3254908398939733e-07,3.1468369576792554e-10,2.6191215862780837e-09,1.0766217251045873e-08,9.817469059925088e-11
data/test/margin_2\a-2\eleven_q3_3_1.png,n,h,4.045156401843997e-06,6.595156719413353e-06,3.93296376369201e-12,2.09790016469924e-07,5.855929074982669e-09,1.9459365230289905e-09,2.4283499442390166e-06,0.5996492505073547,3.900915999111021e-07,2.483155867594178e-07,3.138192187179811e-05,1.7214790659636492e-07,4.109516794414958e-06,0.3991522490978241,4.054172109135834e-09,2.7009194880633913e-08,1.6559100686208694e-06,0.0011386664118617773,1.0671052308453e-07,1.0469202607055195e-06,9.497730957264139e-08,4.417033849790641e-09,9.845814163966793e-10,7.531025403295644e-07,6.4771184042911045e-06,4.577683565543111e-09
data/test/margin_2\a-2\none_q1_2_1.png,u,a,0.9442567825317383,2.169119852624135e-07,1.0344004408580076e-07,2.8845477572758682e-05,1.2827935051973327e-06,3.872693721262976e-09,0.00021563436894211918,3.738293514743418e-07,4.0539566725783516e-07,5.177159145830501e-09,2.4494299921684615e-08,3.2164464300876716e-06,6.813260622351436e-09,1.0623636626405641e-05,5.856475581822451e-06,2.4186416758276152e-11,0.003658667905256152,2.361146925977664e-06,2.1596774146814823e-08,2.4515985685980013e-08,0.05181257054209709,6.164061687741196e-07,1.0481353562852291e-08,7.497975502701593e-07,1.6894484815566102e-06,1.8371284493667872e-09
data/test/margin_2\b-1\eleven_q1_2_4.png,k,t,5.2611017764547796e-08,5.4779033234808594e-05,9.906465925357821e-11,1.0769743141736399e-07,2.5074910809053108e-05,0.0001659923291299492,1.4445721008282675e-10,5.327153121470474e-05,2.6295790576114086e-06,4.375578441795369e-07,0.359267920255661,3.5469488466333132e-06,7.84074125070866e-11,6.300507671141986e-09,4.2119707027721276e-11,7.999268802905135e-09,2.656680986312665e-10,0.00016981434600893408,2.7478072595066294e-10,0.6401119232177734,2.2407698960225098e-11,5.94604532277998e-10,2.739649869812344e-13,0.00014454474148806185,7.077797237187156e-10,6.910389149794582e-09
data/test/margin_2\b-1\eleven_q1_3_4.png,e,c,1.1720805559889413e-05,2.619772176970514e-09,0.9373718500137329,6.050109277566662e-06,0.062487758696079254,1.8486180408672226e-07,1.256286668649409e-05,4.005881737434436e-10,4.0334789730422926e-08,4.28959090470471e-11,4.1469772060764853e-11,6.723851402057335e-05,8.087679859158925e-09,6.1278865359781776e-06,6.683493666059803e-06,1.559773088466443e-09,6.32899684660515e-07,2.6477733626961708e-05,1.724337039377133e-06,6.51713435217971e-07,6.920718931269221e-08,2.8648109662299248e-08,1.2777543645370315e-07,3.8313640454701314e-11,4.0192480420253585e-12,9.642816678478994e-08
data/test/margin_2\b-1\eleven_q2_1_1.png,i,t,0.0007243104628287256,3.5535162169253454e-05,1.3101666809234302e-06,6.950264651095495e-05,8.520921983290464e-05,0.013441579416394234,0.0013343788450583816,0.00189297238830477,0.13149912655353546,0.09261158108711243,4.592153709381819e-05,0.0007839555619284511,2.5511454282423074e-07,0.00010306591138942167,2.888379242449446e-07,6.115121323091444e-06,0.0022155730985105038,0.0014255890855565667,4.799399903276935e-05,0.7487722635269165,0.00019108809647150338,1.0004406249208841e-05,3.824266237018037e-09,4.253784936736338e-05,0.000285024696495384,0.0043749078176915646
data/test/margin_2\b-1\none_q2_3_2.png,w,q,0.0033203705679625273,3.1510262488154694e-07,5.231299837760162e-10,1.689259624981787e-05,6.031842758602579e-07,1.7029809784574468e-09,0.00025553524028509855,2.2754700346183654e-09,2.5804227643533295e-09,3.867177689187429e-09,1.461204421349116e-11,3.2367237778885283e-09,6.78196059311631e-08,2.9641958008141955e-06,1.6298566940520232e-09,1.1503237118404286e-07,0.9959436058998108,1.73336772490984e-07,8.595562484003949e-09,2.7931028512284684e-07,4.233754225424491e-06,1.5807445379323326e-06,0.0004531352315098047,3.026631034686034e-08,3.861356745460398e-08,5.290911175848123e-08
data/test/margin_2\b-1\none_q3_2_1.png,t,f,3.5113696412736317e-06,2.2889327933039993e-10,1.83632966610503e-08,1.39768818741004e-08,9.192052675643936e-05,0.961844801902771,2.3248786007457056e-08,3.4691172459133668e-06,1.5329009173115082e-08,4.1010062545865367e-07,9.496808957010217e-07,5.923690196141251e-07,5.7283545962238946e-11,4.809954248230497e-07,2.2553530223956564e-12,4.328814284804139e-08,6.774395266972988e-09,3.5970635963167297e-06,1.0093327562632481e-10,0.03720416501164436,5.742359365790151e-10,2.3379798097522553e-11,6.827757760216602e-14,0.0008460012613795698,7.171332971900313e-10,4.650271279160734e-09
data/test/margin_2\b-1\none_q3_3_1.png,n,q,0.2993108034133911,5.756866130468552e-07,1.1318333292820171e-07,0.0002726075181271881,7.317872223211452e-05,1.726108166621998e-05,0.07107556611299515,0.00032070570159703493,4.5676439185626805e-05,6.966904493310722e-07,0.0001376772706862539,4.940713438372768e-07,1.794067611626815e-05,0.051901113241910934,5.308814499116465e-10,1.7966880250241957e-06,0.49267303943634033,0.08203033357858658,7.857990567572415e-06,3.137533349217847e-05,1.2711025192402303e-05,3.338838610034145e-07,0.0003475130652077496,0.0016561183147132397,1.6657352830407035e-07,6.42548329778947e-05
data/test/margin_2\b-1\none_q3_3_4.png,y,g,6.386807217495516e-05,1.2805062397092115e-06,4.96797909477209e-08,1.8578637536847964e-05,8.595301551395096e-06,1.7517280866741203e-05,0.9829685091972351,2.0096545085834805e-06,5.117559567224816e-07,0.00032103504054248333,7.67879509977476e-12,3.84172153644613e-06,3.1037730163774313e-09,8.867879159879521e-07,5.759750933975738e-07,6.152930609459872e-07,0.0027332815807312727,2.0017289159568463e-07,7.852393173379824e-05,1.5925583056741743e-06,1.5305779754726245e-07,0.00038367992965504527,6.828844902884157e-07,2.8232065574229637e-08,0.013276764191687107,0.00011711920524248853
data/test/margin_2\b-1\two_q2_1_1.png,i,f,2.9776156225125305e-05,5.306606820631998e-10,1.1511100410643849e-06,7.51132134269028e-08,3.1070369459484937e-06,0.965009868144989,6.360380666592391e-07,1.895547896424432e-08,0.032734282314777374,0.0020201706793159246,3.094268663517141e-08,1.9143249119224492e-06,7.571197002675945e-09,4.8169106037221354e-08,7.375933197550921e-09,0.0001108951837522909,8.569674605496402e-07,1.151520245912252e-05,2.440604930598056e-06,7.152819307520986e-05,4.423279520437973e-09,1.9692672492688246e-10,1.4801280201481859e-08,4.4515184072224656e-07,6.786535067249133e-08,1.0280854212396662e-06
data/test/margin_2\b-1\two_q3_3_1.png,n,a,0.38175493478775024,1.3246930393506773e-05,0.00011073952919105068,0.003496941179037094,0.0025479260366410017,1.995928641917999e-06,0.0030652922578155994,5.6175264035118744e-05,0.00021351384930312634,5.509889433596982e-08,2.7159481760463677e-05,7.225362787721679e-05,0.001428878866136074,0.27257439494132996,2.642190963797475e-07,5.8659439673647285e-05,0.18428154289722443,0.143424391746521,0.00043368517071940005,7.864501822041348e-05,0.0001317385322181508,4.218329195282422e-05,0.0060007525607943535,5.061961564933881e-05,3.184782926268781e-08,0.00013394678535405546
data/test/margin_2\b-2\none_q2_1_1.png,i,j,2.376325710429228e-06,6.890801387271495e-07,1.7252568795811385e-07,1.8351302060182206e-06,1.108467040467076e-05,0.0009329502354376018,0.0001274423993891105,1.087061536964029e-05,0.48472175002098083,0.5139484405517578,2.0112555887408234e-07,2.484618926246185e-05,8.731980416509799e-11,4.411330792208901e-06,2.0298796243878314e-07,2.985491846629884e-05,0.00015960517339408398,3.1476517960982164e-06,4.7134628289313696e-07,6.516869234474143e-06,4.107818313059397e-06,2.8082006338081555e-06,1.6252515422365832e-07,5.291587257261199e-08,4.953613824909553e-06,9.791627917365986e-07
data/test/margin_2\c-1\eleven_q3_1_0.png,n,h,9.330991019851353e-07,1.6769189414844732e-07,1.1101004837588135e-10,5.453801410482129e-09,2.3753701228201862e-09,1.2225812029420524e-10,4.659283803221115e-08,0.5046387314796448,7.596376150331707e-08,2.524687681138005e-10,1.3917006072006188e-05,1.9515331928232627e-07,2.979916189360665e-07,0.4951367974281311,1.3694977096800898e-10,2.238572882617973e-09,4.1934234218388156e-07,0.00020832402515225112,3.063649778312083e-09,1.7044592404147352e-09,2.041119628870547e-08,1.8930471079592337e-10,1.923738807141362e-10,1.8018514458262302e-09,6.013516440361855e-08,3.444537363672673e-11
data/test/margin_2\c-1\none_q1_3_1.png,a,d,0.3113081157207489,1.5287083442672156e-05,4.853853533859365e-05,0.670894980430603,9.825978850130923e-06,3.2955181268334854e-06,0.0013941227225586772,2.0612846185485978e-07,8.930156764108688e-05,0.004387931432574987,4.217124569549924e-07,7.421658665407449e-06,1.0265968519718172e-08,3.271096647949889e-05,0.000648857036139816,1.7055128409992903e-05,0.009999599307775497,5.1989936764584854e-05,1.1687927070624937e-07,8.251031249528751e-05,5.815554322907701e-05,3.655699401861057e-05,2.522232733781493e-08,0.0007259156554937363,2.342811603739392e-05,0.00016364408656954765
