認識フォルダ,モデル,誤認識数,認識率
data/test/margin_2,CNN_model_data-large_model-shallow,36,97.6%
data/test/margin_2,CNN_model_epoch_010,50,96.6%
data/test/margin_2,CNN_model_epoch_020,46,96.9%
data/test/margin_2,CNN_model_epoch_030,52,96.5%
data/test/margin_2,CNN_model_epoch_040,46,96.9%
data/test/margin_2,CNN_model_epoch_050,45,97.0%
data/test/margin_2,CNN_model_epoch_060,41,97.3%
data/test/margin_2,CNN_model_epoch_070,35,97.7%
data/test/margin_2,CNN_model_epoch_080,40,97.3%
data/test/margin_2,CNN_model_epoch_090,45,97.0%
