認識フォルダ,モデル,誤認識数,認識率
data/test/margin_2,CNN_model_data-small_model-shallow,43,97.1%
data/test/margin_2,CNN_model_epoch_010,43,97.1%
data/test/margin_2,CNN_model_epoch_020,47,96.8%
data/test/margin_2,CNN_model_epoch_030,51,96.6%
data/test/margin_2,CNN_model_epoch_040,42,97.2%
data/test/margin_2,CNN_model_epoch_050,58,96.1%
data/test/margin_2,CNN_model_epoch_060,45,97.0%
data/test/margin_2,CNN_model_epoch_070,52,96.5%
data/test/margin_2,CNN_model_epoch_080,47,96.8%
data/test/margin_2,CNN_model_epoch_090,45,97.0%
