誤認識種類,誤認識数
i→j,12
e→p,8
b→h,6
t→f,5
w→u,5
q→g,4
g→q,4
o→c,4
t→y,4
e→a,3
n→a,3
s→f,3
n→r,3
d→j,3
v→u,3
y→z,3
h→b,2
w→n,2
c→o,2
k→t,2
s→r,2
a→q,2
m→r,2
o→s,2
n→u,2
y→r,2
r→v,2
u→v,2
x→y,1
u→a,1
z→y,1
t→a,1
m→p,1
l→r,1
w→a,1
n→x,1
t→m,1
y→g,1
n→m,1
e→z,1
q→y,1
y→x,1
u→c,1
f→t,1
y→t,1
b→l,1
f→y,1
g→f,1
j→i,1
a→o,1
o→e,1
m→v,1
a→y,1
y→j,1
h→k,1
s→g,1
k→h,1
p→e,1
t→e,1
y→l,1
s→b,1
a→u,1
t→d,1
合計,132
文字,認識率
a,85.7%
b,80.6%
c,94.4%
d,91.7%
e,94.2%
f,94.3%
g,86.1%
h,91.7%
i,91.8%
j,97.0%
k,91.9%
l,97.1%
m,88.6%
n,86.1%
o,90.0%
p,97.1%
q,83.9%
r,94.6%
s,90.1%
t,88.2%
u,94.4%
v,91.4%
w,78.4%
x,97.2%
y,90.7%
z,97.2%
全体,91.2%
