誤認識種類,誤認識数
e→p,22
i→j,7
o→n,6
s→c,5
w→n,5
m→w,5
c→r,3
f→t,3
e→o,3
o→d,3
u→a,3
y→l,3
q→g,2
n→r,2
t→f,2
i→l,2
o→m,2
a→n,2
y→t,2
b→h,2
r→v,2
w→u,2
m→r,1
z→i,1
m→k,1
e→c,1
w→a,1
n→a,1
i→z,1
s→r,1
n→q,1
p→r,1
a→g,1
e→a,1
v→r,1
m→n,1
g→q,1
u→v,1
a→i,1
y→r,1
z→t,1
n→v,1
o→a,1
x→n,1
k→h,1
t→p,1
a→u,1
合計,113
文字,認識率
a,85.7%
b,94.4%
c,91.7%
d,100.0%
e,87.0%
f,91.4%
g,97.2%
h,100.0%
i,93.2%
j,100.0%
k,97.3%
l,100.0%
m,77.1%
n,93.1%
o,82.9%
p,97.1%
q,93.5%
r,94.6%
s,91.5%
t,97.3%
u,94.4%
v,97.1%
w,78.4%
x,97.2%
y,94.4%
z,94.4%
全体,92.4%
