ï∂éöâÊëú,ê≥âï∂éö,îFéØåãâ ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
results\a-1\eleven_q1_1_0.png,s,c,5.320870286595891e-07,3.2097556612598055e-08,0.9956379532814026,2.8742894642164174e-07,7.279262354131788e-05,0.0016484892694279552,2.1909691838573053e-07,3.051686405797227e-07,0.0014790031127631664,7.159583148563797e-09,1.8038523421637365e-06,5.857206997461617e-05,1.6664946089761656e-09,1.8450945162840071e-06,1.068378423951799e-06,1.7411987300874898e-06,3.774156027702702e-07,0.001076742890290916,9.252293239114806e-06,7.488492428819882e-06,8.985208523881738e-07,6.086658004278434e-07,1.0619753965102063e-08,4.683854970544132e-10,6.701209465803659e-12,2.8800444695775695e-08
results\a-1\eleven_q1_1_3.png,e,p,1.790618807717692e-05,5.1867968977603596e-06,6.586165545741096e-05,3.9270114939427e-05,0.3768962323665619,0.008484375663101673,0.00015117577277123928,1.3864705827870694e-08,4.6292395694536026e-08,8.929639250254695e-08,1.8747599028756667e-07,9.041803423315287e-06,1.8585883942989767e-09,1.4363539776240941e-05,0.0007543572573922575,0.6110582947731018,3.317611844977364e-05,0.0016156849451363087,0.0008413522155024111,8.535922461305745e-06,4.897793282054863e-09,3.834972176264273e-06,7.627107834196067e-08,3.928633134364645e-07,7.779912825078839e-10,5.448274009722809e-07
results\a-1\eleven_q1_3_3.png,b,h,1.9098225223501686e-09,0.002462215954437852,1.1083980261394899e-10,1.2667366044993855e-09,1.879679079053176e-09,9.276941020930352e-11,2.0657894839182234e-10,0.997535228729248,1.6308058237157752e-09,5.774946146286375e-11,3.2321800347290264e-08,5.892133891904905e-09,4.857370505817471e-09,1.0220252733006419e-07,9.900537854823366e-12,1.342769090362239e-10,8.121711853395497e-13,2.3075413082551677e-06,6.198402208168474e-11,5.290893412279729e-08,1.4855106034161736e-10,5.362968315963945e-12,1.2227147072607636e-10,7.3406454248470254e-09,1.970334919526584e-12,1.064668969305571e-12
results\a-1\eleven_q1_3_4.png,e,p,2.3877896637714e-07,5.552536763708815e-10,2.931867942868038e-11,8.008680651983013e-08,8.841115777613595e-05,0.0001744135224726051,8.825323760675019e-08,4.252203450461067e-11,1.2006571084577367e-11,5.511600065233324e-09,2.96637714392034e-11,2.780911056987634e-09,5.2821105128719736e-11,3.934707137887017e-08,2.550034423620673e-07,0.9997138381004333,1.083673666357754e-07,2.2315438400255516e-05,1.3446749846934836e-07,5.902221378306649e-09,1.8207985032908658e-12,2.7549067027621277e-08,9.758304164719789e-10,3.9854372579917197e-10,1.9905630962990806e-11,9.57785717056736e-13
results\a-1\eleven_q2_1_3.png,e,p,2.839590706571471e-05,5.951046659902204e-07,5.692004734214606e-08,2.238594061054755e-05,0.038720037788152695,0.0024645032826811075,0.00038544440758414567,7.285806624679481e-09,2.5372686174307546e-09,1.6185819049496786e-06,1.4796764924440708e-09,1.1549384453246603e-06,9.964098435233382e-10,1.7634034747970873e-06,0.00010029199620475993,0.9577837586402893,9.918918658513576e-05,0.00016856244474183768,0.00021890708012506366,1.6865229781615199e-06,6.355093673526824e-10,1.505663021816872e-06,2.449007752147736e-07,3.4915856872430595e-08,3.5334692949362534e-09,1.602847810033836e-08
results\a-1\none_q1_1_3.png,e,p,3.845271930913441e-05,1.054994527294184e-06,1.537308889965061e-05,6.324045534711331e-05,0.21622325479984283,0.08025999367237091,0.00038187700556591153,2.2112484288072665e-08,1.621395107065382e-08,9.682082913187173e-10,2.5012081295017197e-08,1.6326555396517506e-06,8.722539632799453e-07,4.4230009734747e-06,2.168270384572679e-06,0.7002551555633545,4.911088581138756e-06,0.0027108965441584587,3.2847099646460265e-05,3.5325913358974503e-06,1.1876002403710118e-09,3.95306720690769e-08,7.804953128243142e-09,2.536220904403308e-07,1.1259897458870682e-09,1.1401988381232186e-10
results\a-1\none_q1_3_0.png,m,r,3.2137720040736895e-08,2.570590407202644e-10,1.1847833825129328e-09,9.020976904139388e-06,5.167861516497396e-08,1.041599162476814e-08,3.6312397533322383e-09,1.1452790715793526e-07,4.2092938912219324e-08,1.0139790902030654e-05,6.314943679086582e-09,6.056876600268879e-08,0.002008811803534627,0.0003726468130480498,3.326075526111083e-11,1.529686266543706e-09,6.809315777900338e-09,0.9957113265991211,2.263499609966857e-09,0.0018806990701705217,5.574541939168398e-10,1.9231290480092866e-06,8.412190825109363e-15,1.95799862012791e-06,3.185755986123695e-06,7.009023222925848e-11
results\a-1\none_q2_3_1.png,o,c,0.0010319416178390384,3.788109552260721e-06,0.7554972171783447,5.5039956350810826e-05,3.2821444619912654e-05,9.156334357385276e-08,1.0431851478642784e-05,8.124675332510378e-06,0.00010388155351392925,1.8630718159329263e-06,1.8130630508039758e-07,2.7936419428442605e-05,4.3460531173877825e-07,0.0016361287562176585,0.24069520831108093,1.3929797205491923e-05,1.823526508815121e-05,0.00016973947640508413,2.7928426789003424e-05,4.142369289183989e-05,0.0006181321805343032,5.631244675896596e-06,1.1474670102984419e-08,2.543522947817678e-09,1.0847754638998452e-10,1.4048597840599086e-09
results\a-1\two_q1_3_0.png,m,n,0.003557422198355198,7.048641350593243e-07,1.1601085958545809e-07,6.86704515828751e-05,0.00021650678536389023,7.766386261209846e-06,0.00011725926742656156,0.08625233918428421,7.168646334321238e-07,0.0013889530673623085,0.003625912358984351,7.298415880541143e-07,0.1768125593662262,0.46282634139060974,2.716261178647983e-06,1.6957379557425156e-05,6.458661664510146e-05,0.2401830554008484,5.793488639938005e-07,6.0066977312089875e-05,0.00010752610978670418,0.0002461424155626446,0.017873220145702362,0.006356892641633749,0.00010598503286018968,0.0001062808878486976
results\a-1\two_q1_3_4.png,e,p,1.8357499357080087e-05,1.24114885693416e-05,1.7320192000624957e-06,2.413468791928608e-05,0.02098851092159748,0.0333772711455822,0.0004550139419734478,2.201270987711723e-08,2.9737483586700364e-09,2.0232744191162055e-07,7.483010477926655e-08,2.9287969027791405e-06,3.996627473412673e-09,4.233255367580568e-06,1.2002777111774776e-05,0.9445347785949707,2.5615156118874438e-05,0.0005030602915212512,3.569955151760951e-05,2.7403386866353685e-06,5.611934250637773e-10,7.193765441115829e-07,7.96933221636209e-08,2.6419195364724146e-07,5.697483596023289e-10,1.2759097955949983e-07
