誤認識種類,誤認識数
e→p,17
b→h,12
i→j,9
s→c,8
w→u,6
m→r,6
m→w,5
o→c,5
y→l,5
c→r,4
g→q,4
e→o,4
s→r,4
t→r,3
f→t,3
k→t,3
t→f,3
w→n,2
u→a,2
q→y,2
g→y,2
o→n,2
n→r,2
a→o,2
v→u,2
c→o,1
z→i,1
e→c,1
z→j,1
m→n,1
l→r,1
w→q,1
n→a,1
y→g,1
i→f,1
n→q,1
e→f,1
s→g,1
o→m,1
m→k,1
y→t,1
s→f,1
e→s,1
u→v,1
a→i,1
i→l,1
r→v,1
s→j,1
k→h,1
t→p,1
a→u,1
合計,143
文字,認識率
a,88.6%
b,66.7%
c,86.1%
d,100.0%
e,88.4%
f,91.4%
g,83.3%
h,100.0%
i,92.5%
j,100.0%
k,89.2%
l,97.1%
m,62.9%
n,94.4%
o,88.6%
p,100.0%
q,93.5%
r,97.3%
s,78.9%
t,93.6%
u,95.8%
v,94.3%
w,75.7%
x,100.0%
y,93.5%
z,94.4%
全体,90.4%
