誤認識種類,誤認識数
e→p,10
w→u,7
n→r,5
w→n,5
f→t,4
e→o,4
s→r,3
y→l,3
o→a,2
t→f,2
n→a,2
o→m,2
w→h,2
y→t,2
o→u,1
m→t,1
a→n,1
a→r,1
e→c,1
i→t,1
s→c,1
i→f,1
c→r,1
e→z,1
a→g,1
n→q,1
s→f,1
u→j,1
m→n,1
o→s,1
u→v,1
g→y,1
a→i,1
i→l,1
r→v,1
x→n,1
s→j,1
k→h,1
t→e,1
z→q,1
a→u,1
b→h,1
合計,81
文字,認識率
a,85.7%
b,97.2%
c,97.2%
d,100.0%
e,92.3%
f,88.6%
g,97.2%
h,100.0%
i,97.9%
j,100.0%
k,97.3%
l,100.0%
m,94.3%
n,88.9%
o,91.4%
p,100.0%
q,100.0%
r,97.3%
s,91.5%
t,97.3%
u,97.2%
v,100.0%
w,62.2%
x,97.2%
y,95.3%
z,97.2%
全体,94.6%
