誤認識種類,誤認識数
e→p,21
b→h,12
o→c,7
s→c,6
w→u,6
g→q,5
w→n,4
s→r,4
m→r,3
q→y,3
t→f,3
y→g,3
i→f,3
c→r,3
n→r,3
m→w,3
e→o,2
k→t,2
a→o,2
e→c,2
n→a,2
o→n,2
f→t,2
a→u,2
v→u,2
u→a,1
z→i,1
m→v,1
i→t,1
s→f,1
l→r,1
w→q,1
q→g,1
d→j,1
g→y,1
o→m,1
m→k,1
i→j,1
g→f,1
j→i,1
n→i,1
o→e,1
u→v,1
a→i,1
k→f,1
z→x,1
y→q,1
r→v,1
k→h,1
t→p,1
y→l,1
合計,133
文字,認識率
a,85.7%
b,66.7%
c,91.7%
d,97.2%
e,87.9%
f,94.3%
g,80.6%
h,100.0%
i,96.6%
j,97.0%
k,89.2%
l,97.1%
m,77.1%
n,91.7%
o,84.3%
p,100.0%
q,87.1%
r,97.3%
s,84.5%
t,96.4%
u,97.2%
v,94.3%
w,70.3%
x,100.0%
y,95.3%
z,94.4%
全体,91.1%
