誤認識種類,誤認識数
e→p,22
b→h,12
s→c,9
o→c,8
w→u,5
m→r,5
q→y,4
s→r,4
w→n,3
z→i,3
v→u,3
n→r,3
c→r,3
g→q,3
m→w,3
y→l,3
q→g,2
u→a,2
e→o,2
k→t,2
a→o,2
t→f,2
n→a,2
y→g,2
o→n,2
i→j,2
f→t,2
a→u,2
s→f,1
z→j,1
l→r,1
w→q,1
i→f,1
t→r,1
g→y,1
g→f,1
j→i,1
o→e,1
u→v,1
a→i,1
z→x,1
n→v,1
k→h,1
t→p,1
y→q,1
合計,134
文字,認識率
a,85.7%
b,66.7%
c,91.7%
d,100.0%
e,88.4%
f,94.3%
g,86.1%
h,100.0%
i,97.9%
j,97.0%
k,91.9%
l,97.1%
m,77.1%
n,91.7%
o,84.3%
p,100.0%
q,80.6%
r,100.0%
s,80.3%
t,96.4%
u,95.8%
v,91.4%
w,75.7%
x,100.0%
y,94.4%
z,86.1%
全体,91.0%
