ï∂éöâÊëú,ê≥âï∂éö,îFéØåãâ ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
data/test/margin_2\a-2\none_q1_2_1.png,u,a,0.5825611352920532,2.9375954113675107e-07,5.041664917371236e-05,2.836712883436121e-05,8.365502708329586e-07,9.610544111637864e-07,0.019229471683502197,1.7968613974517211e-06,1.0993263458658475e-05,1.4711109770360054e-06,5.904526005906519e-07,1.4464593505181256e-06,5.416086423792876e-07,0.0009929644875228405,1.0824541277543176e-05,1.8205561502782075e-08,0.07476314157247543,5.4812418966321275e-05,3.329222408865462e-06,1.7183215561544785e-07,0.3221394121646881,9.418171975994483e-05,1.084646328308736e-06,3.993154678028077e-06,4.784938209922984e-05,1.3951894084485161e-09
data/test/margin_2\a-2\two_q2_1_0.png,f,t,1.7231385762705997e-10,3.4498045806685695e-06,1.1579749781276405e-07,1.5090421356944717e-08,1.951198555616429e-06,0.1012101098895073,6.149369013996875e-09,1.9766775949392468e-06,1.7219692836079048e-06,0.0001366148644592613,0.0003758365928661078,5.493654953170335e-07,1.0449690418523616e-10,2.7594380114237538e-08,3.6224541144491695e-09,1.7429129002266563e-05,5.179594353421635e-08,2.7764776859839913e-06,3.3761782702868004e-08,0.8973737955093384,8.67309637442304e-08,1.0597480013530003e-06,6.572062338783269e-10,0.0008682879852131009,3.438538442424033e-06,6.590619250346208e-07
data/test/margin_2\b-1\eleven_q1_2_4.png,k,t,4.632105898849659e-08,0.004381449893116951,5.316852821124485e-06,9.561563274473883e-07,0.0001136035643867217,0.0020686557982116938,5.469973416438734e-07,0.0011864170664921403,7.508207636419684e-05,7.071344043652061e-07,0.3218371868133545,2.7062844310421497e-05,1.0580004754234817e-11,2.3146199623624852e-07,1.9977692389261392e-08,1.34943343255145e-06,6.339715810099733e-07,0.0016260340344160795,2.3933148796118076e-09,0.6630098223686218,7.849432392958988e-08,1.8163026425099815e-06,3.6024114802302165e-09,0.005659779533743858,2.144015070371097e-06,1.0647526096363435e-06
data/test/margin_2\b-1\eleven_q1_3_4.png,e,c,1.4492836271529086e-05,5.303653779265005e-06,0.6348863244056702,5.30196700765373e-07,0.3640942871570587,2.454087564274232e-07,2.1102734990563476e-06,6.760794235560752e-08,8.370094292331487e-06,4.777124829047352e-08,4.4623348571803945e-08,3.220462758690701e-06,3.8051903850089275e-09,0.000316785677568987,0.0003014514804817736,6.039461908358135e-08,1.447209797333926e-06,0.00017364298400934786,4.5123077143216506e-05,0.00010481449862709269,3.6699532302009175e-07,2.692883356303355e-07,3.127116343648595e-09,4.208267956329337e-09,9.269993106464369e-10,4.0715804061619565e-05
data/test/margin_2\b-1\eleven_q2_1_1.png,i,t,1.454724383620487e-06,1.253899597486452e-07,8.368216185772326e-06,1.5834578448448156e-07,3.740574072708114e-08,0.01645803637802601,0.002873640973120928,6.874109317323018e-07,0.14607864618301392,0.02042156457901001,1.1624783837760333e-06,0.0021032358054071665,5.826004567666132e-08,1.4010303857503459e-05,2.666263753781095e-06,0.00011450093006715178,0.002023619133979082,0.023853033781051636,2.8672200642176904e-05,0.7784389853477478,2.5217244115083304e-07,0.0002225757052656263,4.0265479839263207e-10,0.00016531180881429464,0.0007099792128428817,0.006479219533503056
data/test/margin_2\b-1\none_q1_1_0.png,s,f,9.961422620108351e-06,4.748419451061636e-05,0.005203275475651026,5.3762810239277314e-06,2.8168864446342923e-05,0.7352287769317627,0.0011348476400598884,7.941950752865523e-05,0.00011222195462323725,1.6128820789163e-05,3.0138048714434262e-06,2.4691782982699806e-06,1.7167793942007847e-07,2.676315125427209e-05,3.753386863536434e-07,2.6273250114172697e-05,0.00023611630604136735,0.020821668207645416,0.2370016872882843,1.2951086318935268e-05,8.494752279375462e-08,1.8992334815948198e-08,6.286758775786438e-07,2.0781344574061222e-06,3.129479608787733e-08,1.6730135143916414e-07
data/test/margin_2\b-1\none_q1_2_0.png,q,p,8.699181307747494e-06,1.79035613001588e-08,6.700818744320713e-07,9.614383316147723e-07,2.7834830689243972e-05,0.0004967331769876182,0.006975598633289337,2.8356876669022313e-07,2.1866944734938443e-05,8.249417987826746e-06,3.1226223828895172e-09,2.7275405955151655e-05,1.393257870185849e-10,4.5607780521095265e-06,2.2084146621637046e-05,0.5916933417320251,0.4006592035293579,2.5481680495431647e-05,1.617190577007932e-07,7.060685192072924e-08,9.534042888503791e-09,1.7499520481578656e-06,2.03919411738418e-12,3.2064497723638397e-09,2.5011087927850895e-05,1.7284901332459413e-07
data/test/margin_2\b-1\none_q2_3_2.png,w,q,0.01398172415792942,1.52815129439432e-08,5.353001597541152e-07,0.00017871336604002863,0.00013219640823081136,1.3354595207459852e-09,0.0042650229297578335,9.034336301283474e-08,1.2518353287305217e-05,2.934768417617306e-06,1.1087487178373934e-10,7.438465559062024e-07,3.225374101134548e-08,1.4149010894470848e-05,4.234423158777645e-07,1.2727821285807295e-06,0.9809333086013794,2.0449111616471782e-05,1.4247504623199347e-05,1.2128910498176992e-07,0.00027549624792300165,6.0410777223296463e-05,7.36716901883483e-05,5.538322966458509e-06,2.2723261281498708e-05,3.643666786956601e-06
data/test/margin_2\b-1\none_q3_2_1.png,t,f,6.483261927314743e-09,3.6231062594538344e-09,3.820106897478581e-08,4.3990505682600656e-10,6.606863280467223e-06,0.9932025074958801,4.308548184894789e-09,2.1488602897079545e-07,1.4225364886044645e-08,9.928220606525429e-06,7.776624443067703e-06,6.400767027514576e-09,1.6447490591708913e-10,2.5179855356327607e-07,1.5570270073261838e-10,2.6600191631587222e-06,8.344926527570351e-09,8.398975296586286e-06,2.0410608758680837e-09,0.005055851303040981,2.0734311489967183e-10,1.9276151785874163e-09,2.5358167443038232e-14,0.0017051264876499772,7.700154469603149e-08,4.514721467785421e-07
data/test/margin_2\b-1\none_q3_3_1.png,n,a,0.5379895567893982,5.828230769111542e-07,2.3802915166015737e-05,0.0002949293120764196,0.00020964881696272641,5.603723366220947e-06,0.010952685959637165,0.08078667521476746,0.00045570681686513126,2.8648901206906885e-06,2.6341420380049385e-05,1.4853854963803315e-06,0.001990767428651452,0.2664399743080139,3.0670164505863795e-06,6.774307166779181e-06,0.07822748273611069,0.01948424056172371,5.930076076765545e-05,8.698788178662653e-08,0.0008157063275575638,1.9099138626188505e-06,0.0021995611023157835,2.330029928998556e-06,1.4703416582051432e-06,1.7300431863986887e-05
